Start	time：2023-07-06	19:05:08.308
Date	Time	ax	ay	az	wx	wy	wz	AngleX	AngleY	AngleZ	hx	hy	hz	q0	q1	q2	q3	
2023-07-06	19:05:16.253	0.1660	0.0005	0.9688	3.6621	5.5542	-3.4180	-0.1154	-6.1029	-117.5592	0	0	0	0.5176	-0.0460	-0.0267	-0.8540	
2023-07-06	19:05:16.397	0.1299	0.0093	0.9927	2.0752	7.1411	0.0000	0.0110	-5.4877	-117.6910	0	0	0	0.5168	-0.0409	-0.0248	-0.8548	
2023-07-06	19:05:16.456	0.1377	0.0259	0.9878	6.2256	3.4180	1.4038	0.4504	-4.9603	-117.7075	0	0	0	0.5169	-0.0350	-0.0257	-0.8550	
2023-07-06	19:05:16.582	0.1597	0.0205	0.9634	5.0049	3.2349	-3.9673	0.9338	-4.8340	-117.8119	0	0	0	0.5163	-0.0319	-0.0288	-0.8554	
2023-07-06	19:05:16.662	0.1230	0.0640	0.9326	8.7280	8.6060	0.0000	1.8567	-4.2792	-118.0096	0	0	0	0.5151	-0.0237	-0.0331	-0.8562	
2023-07-06	19:05:16.781	0.0815	0.0278	0.9917	7.3853	15.7471	4.2725	2.4280	-3.5321	-117.8503	0	0	0	0.5164	-0.0155	-0.0340	-0.8556	
2023-07-06	19:05:16.865	-0.3423	-0.1489	0.3438	19.4092	31.9214	-20.8740	2.7960	0.2087	-117.7570	0	0	0	0.5167	0.0142	-0.0199	-0.8558	
2023-07-06	19:05:16.983	-0.6460	-0.0249	-1.0503	-31.0669	1285.8887	74.8901	12.8101	25.1312	-108.1604	0	0	0	0.5494	0.2390	0.0387	-0.7997	
2023-07-06	19:05:17.067	3.5186	-0.4556	0.7549	398.6816	-687.8662	914.7949	-3.1366	7.1796	-111.2366	0	0	0	0.5648	0.0362	0.0579	-0.8224	
2023-07-06	19:05:17.180	0.6411	-1.0942	3.4121	-246.9482	-115.4785	488.5254	17.6825	15.0568	-26.3342	0	0	0	0.9493	0.1779	0.0913	-0.2428	
2023-07-06	19:05:17.269	-0.5654	0.3721	2.2793	-65.2466	48.7061	-11.5356	5.0702	16.7377	-18.6053	0	0	0	0.9743	0.0667	0.1364	-0.1661	
2023-07-06	19:05:17.387	-0.1685	-0.2539	1.2661	-28.0151	9.3994	57.0068	1.5546	17.1222	-10.8600	0	0	0	0.9841	0.0274	0.1469	-0.0956	
2023-07-06	19:05:17.473	-0.0835	-0.6045	0.9990	-2.1362	25.2075	37.9639	0.7965	15.2710	-0.7196	0	0	0	0.9911	0.0077	0.1328	-0.0071	
2023-07-06	19:05:17.588	-0.2788	-0.4604	1.0547	-25.9399	-7.9956	-28.6865	2.1094	12.2662	17.8143	0	0	0	0.9824	0.0015	0.1084	0.1520	
2023-07-06	19:05:17.677	-0.3247	-0.3384	1.0581	6.9580	9.9487	-14.5264	1.0107	11.1346	22.9559	0	0	0	0.9755	-0.0107	0.0968	0.1972	
2023-07-06	19:05:17.817	-0.3530	-0.2915	1.0459	2.7466	-8.4839	-7.5073	0.1428	9.8383	27.9712	0	0	0	0.9668	-0.0195	0.0835	0.2407	
2023-07-06	19:05:17.876	-0.3022	-0.3799	1.0195	5.7983	-10.5591	-3.8452	-0.4065	8.1134	33.7280	0	0	0	0.9545	-0.0239	0.0667	0.2896	
2023-07-06	19:05:17.997	-0.2871	-0.3311	0.9795	0.8545	-14.0991	-4.2725	-0.8240	6.1029	39.1223	0	0	0	0.9408	-0.0246	0.0478	0.3347	
2023-07-06	19:05:18.076	-0.2451	-0.3257	1.1484	-7.3242	-19.5923	12.5732	-2.1094	4.0924	45.5878	0	0	0	0.9209	-0.0308	0.0258	0.3877	
2023-07-06	19:05:18.199	-0.2749	-0.4683	1.1035	7.6294	-34.0576	9.6436	-4.1089	1.5765	54.2010	0	0	0	0.8893	-0.0382	-0.0041	0.4557	
2023-07-06	19:05:18.305	-0.1260	-0.3696	0.9995	17.3340	-41.5649	-11.4746	-3.4662	-3.0048	59.4305	0	0	0	0.8682	-0.0133	-0.0377	0.4946	
2023-07-06	19:05:18.394	-0.0986	-0.2983	0.9951	32.7759	-3.2349	8.7280	-1.2085	-4.4055	64.5776	0	0	0	0.8449	0.0116	-0.0381	0.5334	
2023-07-06	19:05:18.479	-0.1885	-0.2544	1.1162	45.3491	14.0991	3.6011	1.1096	-3.2904	69.9170	0	0	0	0.8190	0.0244	-0.0180	0.5729	
2023-07-06	19:05:18.596	-0.1787	-0.0161	0.9468	0.1221	-17.8223	-11.2915	1.5051	-4.7516	73.2568	0	0	0	0.8014	0.0353	-0.0254	0.5965	
2023-07-06	19:05:18.687	-0.0684	-0.3828	0.7773	-93.1396	-40.7104	55.1758	-4.4989	-7.9047	81.0571	0	0	0	0.7594	0.0150	-0.0778	0.6457	
2023-07-06	19:05:18.806	-0.1309	-0.4722	0.8652	-34.7900	-7.5073	-6.6528	-11.2610	-8.2947	88.1927	0	0	0	0.7178	-0.0202	-0.1198	0.6856	
2023-07-06	19:05:18.859	-0.2031	-0.3462	0.8887	-25.1465	-7.9956	-12.5122	-13.9526	-8.6133	91.3843	0	0	0	0.6979	-0.0313	-0.1387	0.7019	
2023-07-06	19:05:18.995	-0.1719	-0.3589	0.8350	11.1694	11.4136	-13.4888	-16.5289	-8.6902	94.6802	0	0	0	0.6767	-0.0420	-0.1562	0.7183	
2023-07-06	19:05:19.063	-0.1143	-0.3721	0.9053	12.1460	26.0010	-3.7231	-16.9574	-6.7126	97.8442	0	0	0	0.6553	-0.0531	-0.1490	0.7386	
2023-07-06	19:05:19.197	-0.1475	-0.3569	1.0405	-5.9204	-18.4326	-17.7612	-15.7928	-4.6472	100.5084	0	0	0	0.6371	-0.0569	-0.1312	0.7574	
2023-07-06	19:05:19.265	-0.1191	-0.3623	0.9209	13.6719	14.9536	7.9956	-17.4023	-4.4165	103.9197	0	0	0	0.6133	-0.0632	-0.1425	0.7743	
2023-07-06	19:05:19.400	-0.1123	-0.4028	0.8569	-5.0049	13.1226	15.5029	-17.6440	-2.3236	108.1110	0	0	0	0.5825	-0.0738	-0.1359	0.7980	
2023-07-06	19:05:19.466	-0.1880	-0.3232	1.0122	5.7373	33.9355	9.9487	-17.3914	1.1481	111.3190	0	0	0	0.5563	-0.0935	-0.1192	0.8170	
2023-07-06	19:05:19.604	-0.2344	-0.3643	1.0356	3.3569	19.0430	18.5547	-18.2318	4.1364	114.6753	0	0	0	0.5277	-0.1154	-0.1141	0.8338	
2023-07-06	19:05:19.669	-0.3057	-0.4292	1.0117	-18.5547	6.2256	32.1045	-19.2426	6.2787	119.4049	0	0	0	0.4887	-0.1308	-0.1169	0.8546	
2023-07-06	19:05:19.807	-0.3335	-0.4478	0.9512	8.2397	9.2163	18.5547	-19.5172	7.9486	124.0961	0	0	0	0.4505	-0.1396	-0.1173	0.8740	
2023-07-06	19:05:19.874	-0.4092	-0.4780	0.9644	-16.7847	6.1035	3.2959	-20.8685	8.9264	127.0789	0	0	0	0.4243	-0.1490	-0.1275	0.8840	
2023-07-06	19:05:20.011	-0.3926	-0.4795	0.8174	-19.7754	4.7607	-8.9111	-23.2745	9.0747	129.0948	0	0	0	0.4052	-0.1564	-0.1483	0.8885	
2023-07-06	19:05:20.076	-0.4087	-0.4595	1.0083	4.4556	25.0244	-17.2119	-24.8785	10.7996	129.5068	0	0	0	0.3963	-0.1746	-0.1548	0.8880	
2023-07-06	19:05:20.212	-0.4375	-0.3833	1.0552	5.5542	8.6670	-9.7656	-25.1587	12.0850	129.7595	0	0	0	0.3913	-0.1850	-0.1525	0.8885	
2023-07-06	19:05:20.281	-0.3940	-0.3462	0.9844	-28.4424	-9.7046	-0.1221	-25.2850	12.2498	131.4899	0	0	0	0.3773	-0.1843	-0.1556	0.8941	
2023-07-06	19:05:20.420	-0.2607	-0.5947	0.9185	-18.9209	-14.7095	7.2021	-27.4329	11.8158	135.4065	0	0	0	0.3440	-0.1820	-0.1803	0.9033	
2023-07-06	19:05:20.486	-0.2422	-0.5415	0.8584	-4.5166	-8.7280	1.5869	-28.6249	11.0193	137.7960	0	0	0	0.3251	-0.1754	-0.1961	0.9084	
2023-07-06	19:05:20.602	-0.2368	-0.5269	0.8242	5.6152	-5.9204	5.1270	-28.6688	10.8051	139.7076	0	0	0	0.3103	-0.1705	-0.2000	0.9136	
2023-07-06	19:05:20.693	-0.2705	-0.5396	0.9004	-2.9907	-0.9155	3.4790	-28.3832	11.0193	141.3226	0	0	0	0.2974	-0.1686	-0.1994	0.9183	
2023-07-06	19:05:20.805	-0.2856	-0.5732	0.9492	-6.8970	-21.1182	-1.8921	-28.5754	10.6787	142.9926	0	0	0	0.2844	-0.1635	-0.2044	0.9223	
2023-07-06	19:05:20.900	-0.2109	-0.6431	0.9780	21.7896	-12.0239	-2.6855	-27.8888	9.9866	144.8273	0	0	0	0.2721	-0.1531	-0.2033	0.9280	
2023-07-06	19:05:21.007	-0.2261	-0.4131	0.8716	20.8130	-20.2026	-15.5029	-25.4224	8.1628	144.9426	0	0	0	0.2781	-0.1323	-0.1884	0.9326	
2023-07-06	19:05:21.094	-0.1504	-0.4438	0.8237	3.0518	-10.8643	-9.0332	-25.5652	6.2347	145.9479	0	0	0	0.2736	-0.1154	-0.1957	0.9346	
2023-07-06	19:05:21.208	-0.1992	-0.4556	0.9883	1.7090	-1.2207	-4.8218	-25.4938	5.8777	146.6016	0	0	0	0.2691	-0.1112	-0.1967	0.9362	
2023-07-06	19:05:21.297	-0.2090	-0.4585	0.9619	1.7090	-5.1270	-3.1738	-25.6311	5.7239	147.4310	0	0	0	0.2624	-0.1089	-0.1990	0.9379	
2023-07-06	19:05:21.414	-0.1582	-0.4434	0.9463	-0.9155	-2.8076	2.3804	-25.8563	5.4547	148.5901	0	0	0	0.2533	-0.1051	-0.2026	0.9401	
2023-07-06	19:05:21.497	-0.1416	-0.5083	0.9077	3.3569	-3.4180	0.1831	-26.0101	5.2844	149.8920	0	0	0	0.2428	-0.1018	-0.2054	0.9426	
2023-07-06	19:05:21.619	-0.1436	-0.4492	0.9170	11.1084	5.6152	-0.3052	-25.4993	5.5371	150.5621	0	0	0	0.2372	-0.1016	-0.2012	0.9449	
2023-07-06	19:05:21.704	-0.1689	-0.4341	0.9731	13.2446	2.9907	2.4414	-24.1699	6.2183	151.1993	0	0	0	0.2318	-0.1034	-0.1893	0.9485	
2023-07-06	19:05:21.820	-0.1719	-0.4180	0.9302	6.9580	2.8076	0.6714	-23.8788	6.5808	152.0398	0	0	0	0.2244	-0.1044	-0.1869	0.9507	
2023-07-06	19:05:21.901	-0.1748	-0.4097	0.9766	3.2349	2.3193	1.9531	-23.0548	7.2510	152.6880	0	0	0	0.2186	-0.1073	-0.1792	0.9532	
2023-07-06	19:05:22.026	-0.1821	-0.4307	0.9561	-4.7607	-1.0986	1.9531	-22.7911	7.5476	153.4735	0	0	0	0.2118	-0.1080	-0.1771	0.9551	
2023-07-06	19:05:22.106	-0.1777	-0.4473	0.9536	-1.2207	2.3193	1.1597	-23.3240	7.7399	154.1821	0	0	0	0.2050	-0.1095	-0.1818	0.9555	
2023-07-06	19:05:22.221	-0.1724	-0.4258	0.9526	1.7090	-0.4272	-0.3052	-23.4668	7.8278	154.6930	0	0	0	0.2004	-0.1097	-0.1833	0.9561	
2023-07-06	19:05:22.311	-0.1943	-0.3936	0.9556	4.4556	1.3428	0.3662	-23.4119	7.9816	155.0775	0	0	0	0.1970	-0.1102	-0.1829	0.9569	
2023-07-06	19:05:22.425	-0.1792	-0.4424	0.9360	1.2817	3.0518	3.9063	-23.3734	8.3496	155.8575	0	0	0	0.1898	-0.1120	-0.1826	0.9582	
2023-07-06	19:05:22.508	-0.1948	-0.4038	0.9644	2.8687	2.6855	3.7231	-23.0383	8.8110	156.5057	0	0	0	0.1839	-0.1142	-0.1796	0.9596	
2023-07-06	19:05:22.624	-0.2178	-0.3799	0.9556	3.3569	5.1270	7.7515	-22.7911	9.3274	157.3572	0	0	0	0.1761	-0.1168	-0.1774	0.9612	
2023-07-06	19:05:22.718	-0.2173	-0.4336	1.0137	-4.2725	4.6997	9.7046	-22.3846	10.1898	158.4778	0	0	0	0.1655	-0.1217	-0.1737	0.9631	
2023-07-06	19:05:22.835	-0.2085	-0.4336	0.9321	7.2021	4.3335	6.0425	-22.3187	10.7446	159.4281	0	0	0	0.1566	-0.1248	-0.1732	0.9643	
2023-07-06	19:05:22.917	-0.2383	-0.3818	0.9302	18.1885	10.8032	1.0376	-21.6266	11.5137	159.6973	0	0	0	0.1537	-0.1299	-0.1664	0.9653	
2023-07-06	19:05:23.038	-0.2388	-0.3481	0.9751	40.2222	8.6060	-16.0522	-20.0830	12.2388	158.9722	0	0	0	0.1604	-0.1348	-0.1513	0.9660	
